status	base_mode	working_mode	base_blob	working_blob	path	upstream_change	default_decision
M	100644	100644	bd27b2f301bc14365a48b35f2324bc1a4c6d236e	03e300b92b339a93a33a84753e907364ce3ba254	internal/types/mcp.go	no	preserve-local-modification
M	100644	100644	696b91347f1b5933aeab3c09b58893b9e4cf19b3	a8a888c97ac663380ba933e9a1608adca5f095ce	internal/types/mcp_oauth.go	no	preserve-local-modification
M	100644	100644	49b86368a6d7b08fc6306c869cb988b1c385df73	04f46db22ae23e9b8414aba03114d7bece510263	internal/types/mcp_test.go	no	preserve-local-modification
M	100644	100644	2af9828384e1dcfc19648ad2879df5469e572767	37a1781e7986f42566a9a948d415d33934f4e99f	internal/types/model.go	no	preserve-local-modification
A	000000	100644	0000000000000000000000000000000000000000	f4361ee20d9933f226952fdf8f17489c947ea5c1	internal/types/openrouter_credentials_test.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	ddeecd2e443c6dff62fbd840c49ad6f76f090be5	internal/types/paddle_billing_operation.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	12a8f5508604f42cbfe027b3586a8d43caff1787	internal/types/paddle_renewal_event_migration_contract_test.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	590238fd7087fd55a7ec2c6c88f66296216bf270	internal/types/paddle_webhook_task.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	9ad1effa6a5462ccb6f9d24db1915eb91a99a015	internal/types/paddle_webhook_task_test.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	c21b3fa0a8b6a3d1a1d99a371b5fa0830eec1203	internal/types/platform_knowledge_base_migration_contract_test.go	no	preserve-local-addition
M	100644	100644	5335ef77e0390d4e8eca0043d141f3390a47a7b5	9dd09784f34d8bf662e3d40be08d8e81a8d5bbac	internal/types/qa_request.go	no	preserve-local-modification
A	000000	100644	0000000000000000000000000000000000000000	a37dd0195456fe55841a8d32007712536c8dfd33	internal/types/secret_persistence_strict.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	316c7f71c548aa2bee4bb08905215426867920b6	internal/types/secret_persistence_strict_test.go	no	preserve-local-addition
M	100644	100644	e6f3b7a7482c6e51ff3f39ed7be4794185d0fc1c	56e91daf58cbd6d0ac3349cd5120169606ce00fb	internal/types/session.go	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	1f57eb70ed8797ca9e1707b97a65897acd2c38d6	internal/types/storage_source_usage_migration_contract_test.go	no	preserve-local-addition
