status	base_mode	target_mode	base_blob	target_blob	path	local_change	default_decision
M	100644	100644	f46f72d36b747989ab6569e7730288b9f957424a	6bdf87f1ec49740622c5c2407b9b4556913993a4	config/prompt_templates/agent_system_prompt.yaml	yes:M	three-way-preserve-musuw
M	100644	100644	5155038267587643d69e331efcd3447562451455	b7874fbaa8a3692d5efabd56734d8b9aae6463c1	docker-compose.yml	yes:M	three-way-preserve-musuw
M	100644	100644	38e12b06c440ad3196a5c03bc049aca4693ca586	a15ef60796f5ccc0440c9b7113b9cd1fa7d47d94	docker/Dockerfile.app	no	adopt-upstream
M	100644	100644	971a8b2a652613e4e724da4cf7125f8cec85ab0d	0c08898b29e25ab480862a21b3edf54efbfec734	docker/Dockerfile.sandbox	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	ec00062ec73f00cf44a6a40cf845d4f357b31cb5	docreader/parser/docx_merge.py	no	adopt-upstream
M	100644	100644	bd713f805e3b064f8539b46ac1a7b2087b3346d7	f9820069fe341b41ea5b53b9412352e808e7d5d9	docreader/parser/docx_parser.py	no	adopt-upstream
M	100644	100644	57202329235f68a3e52182d729dadf9523e4c5af	937f3c220e3ca71a2200a51fa30797f6338722f8	docreader/parser/markdown_parser.py	no	adopt-upstream
M	100644	100644	738f719e07f783af196cfbd094f5609592cb1981	f2a28915d041f548e77b71bb62056d2622775c07	docreader/parser/markitdown_parser.py	no	adopt-upstream
M	100644	100644	08aac048cd9d3af232799075f4cf30924211882f	8103d11f79a559c1d1934ef36a66c5bd06ba04c8	docreader/parser/mhtml_parser.py	no	adopt-upstream
M	100644	100644	f6374c4f0910ac58d3f1bc675588ebec63216fc5	bdb96c28dc3d403ab82868f867e61d4717529976	docreader/parser/opendataloader_parser.py	no	adopt-upstream
M	100644	100644	d94657f80c6ca5b0527af4554408fd47d563c432	4a54196521bdef3afbd6fa507fe90ade15204dd3	docreader/parser/pdf_parser.py	no	adopt-upstream
M	100644	100644	30825b12f1096714071de546fa1d17bcf57a5997	330c0211adece83a010819aaa0d26d269cc312d8	docreader/parser/registry.py	no	adopt-upstream
M	100644	100644	40a25279b918020c3e0d51b1be635090b5a87181	8ef9434096e47fdb4b3b91a6081c298585216232	docreader/parser/web_parser.py	no	adopt-upstream
M	100644	100644	8fe4b2bc00efe48b3621fac7eaacda59980fe5c1	a0613bdb8e33cb0aaaafee6e8ff180ea249df469	docreader/parser/xlsx_merge.py	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	90ae3c00b15472a1b3011bfd546ee0bedc24ed67	docreader/parser/xmind_parser.py	no	adopt-upstream
M	100644	100644	cfa2378f94cc37ea8e52d50a6537812551265937	60c63a976c76910c74723188a7c630a5dace1a52	docreader/pyproject.toml	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	ca2c300f118baddf480b372258ea4dc98bef6f1b	docreader/tests/fixtures/generate_issue_2634_fixture.py	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	c03366f5558de2708b5bb071cbb8b16e0e6cd037	docreader/tests/fixtures/issue_2634_vertical_merge.docx	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	a86f901b8da2a849b2f61d1bcf824f40a9620965	docreader/tests/test_docx_merge.py	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	b3338d4fe84eecaba409f69cbce9a8e508fcb150	docreader/tests/test_docx_tables.py	no	adopt-upstream
M	100644	100644	5d8516e686e24cf9e5932ccfef4995224fa04ad2	682613ff2c2fc3c0c164b62a222706f1cf0bf03f	docreader/tests/test_excel_parser.py	no	adopt-upstream
M	100644	100644	56aa987ed199b7fb4691e42996b3b07f6a0fbea4	c26b357066dbbd1372ebaffb17886943d0f13386	docreader/tests/test_markdown_table_util.py	no	adopt-upstream
M	100644	100644	afd70773f89e37a3d8d6a987a8132f4b2ab4c332	1d98fa761b0ff73f81289f3f46dcbfebd2c36b02	docreader/tests/test_mhtml_parser.py	no	adopt-upstream
M	100644	100644	28a6f9747cd46516ea3c5c304439234999d973f4	70792dcd74275f7765221c2bd0355fc6605095c4	docreader/tests/test_opendataloader_parser.py	no	adopt-upstream
M	100644	100644	d074358dd36236a395cdc9d0ac3beb7547f6f745	505f2a5931595a29edfbb8a1b9221710322a7a7f	docreader/tests/test_parser_routing.py	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	d435a9c7fcd6a78303bbb99b91bb47dd466bc2a3	docreader/tests/test_pdf_embedded_images.py	no	adopt-upstream
M	100644	100644	d42b64689c73671133e3774b611e7367e213a680	a4f944dbc9b32c8575bcfdffa3b2b1b7c2bf2440	docreader/tests/test_ssrf.py	no	adopt-upstream
M	100644	100644	0d24c87ff224f1612cd68a6bd06084896acb80d2	677a259b07c72f8bff76225f491925578f0b94a1	docreader/tests/test_web_parser.py	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	1d92e63e5fe8f3dfcc934bef991e983ab85b7ba3	docreader/tests/test_xmind_parser.py	no	adopt-upstream
M	100644	100644	c13f6a41d0c2dc75307531cb01dd29e4ff9274c4	be33e00409506de1a0aaa36160d701e665bde4f8	docreader/utils/ssrf.py	no	adopt-upstream
M	100644	100644	d687fc5c3c4f844e60455c274433ea61f0af7d97	dd3676aca8fee21d2995883feebbb2f969ee535b	docreader/uv.lock	no	adopt-upstream
M	100644	100644	6ec1dfc6d8561068b1aebf1bbbdd769917c5ec77	f961be0a54fa8797cf107edd483d8b655866c2fe	"docs/IM\351\233\206\346\210\220\345\274\200\345\217\221\346\226\207\346\241\243.md"	no	adopt-upstream
M	100644	100644	f1e7c6e7e3849b1dd8ef0003b8bb2826038a63a9	1eb9e194ebf6e3400a7ef0f2a1ff155ba6cc91e6	docs/KnowledgeGraph.md	no	adopt-upstream
M	100644	100644	4f7997088efe4c4807a9e111c73d3004353bf721	841b6f87fe46c78d93a233717e0cae2df67bca38	docs/agent-skills.md	no	adopt-upstream
M	100644	100644	a705f5005db226e69ed0fa05224e70fc6df1df18	4b36856133cda1660545bb2502b66ae6eaedc3bf	docs/api/README.md	no	adopt-upstream
M	100644	100644	e0a3da97ddf719d9aab0afbb0290184fd28b1e78	8999914edb9bd077512c581e1a6fadb87fe0eb6a	docs/api/auth.md	no	adopt-upstream
M	100644	100644	b84b4c1c7ca36696ccdb668c35a2a53ab2e69435	25a8e0cecc257f5f9f536fffdf3d5619a5631186	docs/api/chat.md	no	adopt-upstream
M	100644	100644	302679f9d0f2f010cb9eeeec0e4a1aaa44147d2d	65f06a2e93732efb10c58f020bb72382cf9e4a7d	docs/api/knowledge-base.md	no	adopt-upstream
M	100644	100644	94dc51c73737d6882029cf72234a9d04a0fa787a	f0a091c8c23db26fe888da5992eb8ef8447571a2	docs/api/knowledge.md	no	adopt-upstream
M	100644	100644	136881ea8e91b07e7a870256e3bf7eedffca3955	b0268453500d452da8c243156dcaecad664dc8e7	docs/api/skill.md	no	adopt-upstream
M	100644	100644	3d3fc47846423789bdb4cccc3f5c639f2ca2d86f	1efe0b05beddab75fbd52b613170965aa3fc40d7	docs/api/system.md	no	adopt-upstream
M	100644	100644	06864e1d830666ad0bd778869d120c3b58d052c1	e8bad6655f130dedb8b8a39a86eb485306bc3131	docs/api/tenant.md	yes:M	three-way-preserve-musuw
M	100644	100644	9f87c24c8fefe009b10e5917f9eb81b1257c02f5	799153fed18b07479c0fb7c32adf503b32e5792e	docs/docs.go	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	9062598fafc3654b6634efb4dbe30c075eb0c42d	docs/poc/docker-sandbox/README.md	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	283b783317a4fc4530548b64ca8d2dca251eae08	docs/poc/docker-sandbox/go.mod	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	b5499c4e302a8d6ff57992876707e96c582e06dc	docs/poc/docker-sandbox/go.sum	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	571bd8af3da8986825f9216a980d544f98322257	docs/poc/docker-sandbox/main.go	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	d6b0ab5dd5c2c527fe9a1a18cf482d2731fa6f42	docs/sandbox-cluster.md	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	5a03b2ef5faf807cc176894fdafde3aa3ee0dcdc	docs/sandbox-docker-backend.md	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	23a7908318ae37f4f60237a554cf4ecafaf3b4e3	docs/sandbox-protocol.md	no	adopt-upstream
M	100644	100644	e1eb820d5fbba43ff418057b1ee0092c72b73f9f	90c634165908928366dd6ff644ca66bb59343c8c	docs/swagger.json	yes:M	three-way-preserve-musuw
M	100644	100644	72a2a86fd6ab97e4263b6db6a05a7f4185c59ec7	af472bbd28b11c5c0cf8b5e3d635bf7248845d3c	docs/swagger.yaml	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	e701ee62ec830b1e698fc36780f395b9956e8604	docs/swagger_contract_test.go	no	adopt-upstream
M	100644	100644	6565d1e85b5e177ed3096b4516ee5533cc463b37	25418c8988d8d9d378f06fa2f935ebd86265c884	"docs/wiki/\346\240\270\345\277\203\345\212\237\350\203\275/Agent\346\212\200\350\203\275\347\263\273\347\273\237.md"	no	adopt-upstream
M	100644	100644	299a7a38fc1cbf6db9e16b8587a7a63ccb13e746	5c8bea6bfaf15c6ebe27291f05faacdc8afcfd73	"docs/wiki/\346\240\270\345\277\203\345\212\237\350\203\275/\347\237\245\350\257\206\345\233\276\350\260\261.md"	no	adopt-upstream
M	100644	100644	f0a7bd4148de01e972b8a7fa137766ec7aca73da	65ac2f4454c7a622d4655ae0905688d7315db5f5	frontend/docker-entrypoint.sh	yes:M	three-way-preserve-musuw
M	100644	100644	439e7e4043b46be3009bfee190d11c121382376b	0a8b3ce7cae87a8b4e56391d0410814a238694bd	frontend/package-lock.json	yes:M	three-way-preserve-musuw
M	100644	100644	9b4da289ca117dd71524af24c27850977e7987e1	b08839ea43d6a75c0a4d6ef76e4e6b27bf88a1db	frontend/public/config.js	no	adopt-upstream
M	100644	100644	9b50e3b424d2e0fdaec162a854b3261ac15fa29b	75dcc68b7b8335b815ab1024aa20f7210aa209b3	frontend/src/App.vue	yes:M	three-way-preserve-musuw
M	100644	100644	4c950707e0cc969e7c5bb9045a174e702072b9b6	1ff670b7e2f2ad4054e3569b22cc6deab1b9fbac	frontend/src/api/agent/index.ts	no	adopt-upstream
M	100644	100644	44a5871a2fea697cab291e1cd7ae8242c716acb5	ab730caa4e7535e6f9d44c4712e044124b883283	frontend/src/api/auth/index.ts	yes:M	three-way-preserve-musuw
M	100644	100644	6c2e57e6c8f916f1b28405aee9674c8f3267b482	0fb4b5f8d9af1d344cd9693bc7f7f4fed1bff65b	frontend/src/api/chat/index.ts	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	a46d8abe8b3606e0829f34fe7475288604c13a81	frontend/src/api/env-vars.ts	no	adopt-upstream
M	100644	100644	7eecec5199c5168b8280322b241d8f818f226412	d4f70c5fb2da8ef84019fed2ef1ffad0d85489a6	frontend/src/api/knowledge-base/index.ts	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	680d357903043cdc14ffc6cac235903f8b1e48cd	frontend/src/api/memory.ts	no	adopt-upstream
M	100644	100644	3edbc96b581e79c7efb3d1b125b6eeed140757c9	5610fc66809314973fdf2ea7093e45599ea29dcc	frontend/src/api/skill/index.ts	no	adopt-upstream
M	100644	100644	ac09014b2b7373c79773d70e5079de9f3fc5ae37	127881046ead9a11dc36e1f80155bb6b5dab30c6	frontend/src/api/system/index.ts	no	adopt-upstream
M	100644	100644	f638b6623efae2ea6d75b562099fd8e09905936e	ae5baf1eefede179f5af383bf399aee75ddabdf3	frontend/src/api/tenant/index.ts	no	adopt-upstream
M	100644	100644	a17a2294e5b8450d9d0ebe951f66f5e91bf427cd	fcd16866c011fc17227b610c51ed7c87ce2f33ac	frontend/src/api/tenant/invitations.ts	no	adopt-upstream
M	100644	100644	74323bd94115901e7bd60cddb425eb1c6103efab	03cd0690cb281a10cdcd8156926a1523be72e188	frontend/src/api/web-search-provider.ts	no	adopt-upstream
M	100644	100644	7bb8402479026333a0e8e4225a59c56374ab5f71	ea5f295a8a277f1409c02aef677e61e80542a7fd	frontend/src/api/wiki/index.ts	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	3db779d4f74f8bfd3bbb596d60a0e0c3b6dfa031	frontend/src/assets/img/datasource-gitlab.png	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	8e70f2f5af1ffe8273d6eb80bc1406342862150c	frontend/src/assets/img/datasource-ima.png	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	0021a8a7b34c50389e48d7035b19067f2d909fe3	frontend/src/assets/img/providers/mono/sandbox/docker.svg	no	adopt-upstream
M	100644	100644	674efd9069d8c8de3b929d4ef2390827fd103fa0	a3e1ab013b495e4e06b1e5ea29d64621798339ee	frontend/src/components/AgentEmbedChannelPanel.vue	no	adopt-upstream
M	100644	100644	79aec898f1e90c21a9f63fa77bce0dca509750c4	044251479180c4d34db11eacffd87b63a39c8229	frontend/src/components/ChatHeader.vue	yes:M	three-way-preserve-musuw
M	100644	100644	2919cfc635677812f2e407c06ebf0f5661952900	ea9e5e43348b749d567b0f7b0d1a972baeb33343	frontend/src/components/ChatRequestInfoButton.vue	yes:M	three-way-preserve-musuw
M	100644	100644	3476bf74eb04c64948038b89d6f985ab73e92d51	e03c781a85e098f629f223b4a0f9a95683e0f230	frontend/src/components/GlobalCommandPalette.vue	yes:M	three-way-preserve-musuw
M	100644	100644	eeeba21bde1f20ff25b67c113fbda52173a25f13	831596acbbc09f690c1c946c270239ed02d93d5d	frontend/src/components/GlobalCommandPalette/useSearch.ts	yes:M	three-way-preserve-musuw
